Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Guatemala,0,0,0,0,0,60.8,67.696,68.911,70.131,70.9,73.318,73.774,78.668,78.512,77.289,78.412,83.731,80.625,81.743,82.885,84.066,84.026,86.57,87.878,85.494,90.565,91.926,93.288
Guam,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Guyana,0,0,0,72.377,70.756,71.377,72.001,72.63,73.263,73.897,74.527,75.147,75.752,76.339,76.901,77.5,73.383,78.478,79.008,77.6,82.152,83.649,84.954,85.972,86.9,88.302,89.605,90.865
High income,99.798,99.837,99.837,99.846,99.851,99.863,99.864,99.874,99.892,99.885,99.897,99.891,99.899,99.935,99.912,99.917,99.943,99.929,99.934,99.953,99.941,99.96,99.972,99.956,99.978,99.977,99.988,100
"Hong Kong SAR, China",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Honduras,0,54.782,58.913,61.1,64.734,66.122,61.681,64.795,66.86,67.394,67.386,64.2,63.141,65.09,67.114,68.903,71.266,73.548,76.397,78.27,80.985,82.195,83.608,87.185,88.654,89.982,91.6,86.5
Heavily indebted poor countries (HIPC),0,0,0,0,0,0,0,0,0,0,19.041,22.206,22.393,23.429,24.105,22.2,25.538,34.02,27.58,28.063,29.217,28.572,32.561,33.382,34.952,35.709,41.175,42.075
Croatia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Haiti,0,0,0,0,0,31.3,30.103,30.628,31.158,31.688,33.7,31.542,33.232,31.6,34.174,34.607,33.9,35.44,35.867,36.319,36.81,37.35,37.9,38.552,39.473,40.911,40.4,43.753
Hungary,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
IBRD only,0,0,0,78.012,78.383,79.279,80.042,81.2,81.927,83.512,83.962,82.939,85.228,85.836,86.4,87.064,87.976,88.535,89.326,90.589,91.456,89.227,92.84,93.222,94.003,95.4,95.946,96.91
IDA & IBRD total,0,0,0,70.983,71.325,72.136,72.485,73.21,73.637,74.997,73.987,73.597,75.182,75.909,76.168,76.312,77.536,78.707,78.769,79.686,80.359,79.053,82.234,82.602,83.172,84.588,86.01,87.046
IDA total,0,0,0,0,0,0,0,0,37.005,38.389,35.344,37.278,39.224,40.821,40.581,40.285,42.823,46.545,44.397,44.659,44.592,46.676,48.894,49.628,49.957,51.854,56.316,57.95
IDA blend,0,0,0,0,0,0,0,0,54.239,55.603,55.039,55.783,56.193,58.544,57.326,57.642,57.988,58.973,59.325,58.796,57.487,62.106,61.754,62.802,62.113,61.95,66.919,64.999
Indonesia,0,48.9,65.771,55.43,62.8,66.86,72.39,80.3,80.94,83.73,86.3,86.26,87.6,87.94,89.01,85.971,90.62,91.1,92.73,93.55,94.15,94.83,96,96.464,97.01,97.537,97.62,98.14
IDA only,0,0,0,0,0,0,0,0,0,25.799,23.623,26.295,30.204,31.405,31.754,31.355,35.035,40.186,36.751,37.484,38.035,38.815,42.332,42.898,43.738,46.684,50.883,54.337
Isle of Man,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
