"Year","Country","Total","Solid.Fuel","Liquid.Fuel","Gas.Fuel","Cement","Gas.Flaring","Per.Capita","Pop","PercentElectrified","HDEvIndx","LifeTime","PopExposed","RuralPercent","UrbanPercent"
1993,"SAINT HELENA",3,NA,3,NA,NA,NA,0.47,6382.97872340426,NA,NA,NA,NA,NA,NA
1994,"SAINT HELENA",3,NA,3,NA,NA,NA,0.47,6382.97872340426,NA,NA,NA,NA,NA,NA
1995,"SAINT HELENA",3,NA,3,NA,NA,NA,0.48,6250,NA,NA,NA,NA,NA,NA
1996,"SAINT HELENA",3,NA,3,NA,NA,NA,0.48,6250,NA,NA,NA,NA,NA,NA
1997,"SAINT HELENA",3,NA,3,NA,NA,NA,0.65,4615.38461538462,NA,NA,NA,NA,NA,NA
1998,"SAINT HELENA",3,NA,3,NA,NA,NA,0.65,4615.38461538462,NA,NA,NA,NA,NA,NA
1999,"SAINT HELENA",3,NA,3,NA,NA,NA,0.65,4615.38461538462,NA,NA,NA,NA,NA,NA
2000,"SAINT HELENA",3,NA,3,NA,NA,NA,0.66,4545.45454545455,NA,NA,NA,NA,NA,NA
2001,"SAINT HELENA",3,NA,3,NA,NA,NA,0.67,4477.61194029851,NA,NA,NA,NA,NA,NA
2002,"SAINT HELENA",3,NA,3,NA,NA,NA,0.68,4411.76470588235,NA,NA,NA,NA,NA,NA
2003,"SAINT HELENA",3,NA,3,NA,NA,NA,0.7,4285.71428571429,NA,NA,NA,NA,NA,NA
2004,"SAINT HELENA",3,NA,3,NA,NA,NA,0.53,5660.37735849057,NA,NA,NA,NA,NA,NA
2005,"SAINT HELENA",3,NA,3,NA,NA,NA,0.55,5454.54545454545,NA,NA,NA,NA,NA,NA
2006,"SAINT HELENA",3,NA,3,NA,NA,NA,0.56,5357.14285714286,NA,NA,NA,NA,NA,NA
2007,"SAINT HELENA",3,NA,3,NA,NA,NA,0.75,4000,NA,NA,NA,NA,NA,NA
2008,"SAINT HELENA",3,NA,3,NA,NA,NA,0.76,3947.36842105263,NA,NA,NA,NA,NA,NA
2009,"SAINT HELENA",3,NA,3,NA,NA,NA,0.6,5000,NA,NA,NA,NA,NA,NA
2010,"SAINT HELENA",3,NA,3,NA,NA,NA,0.8,3750,NA,NA,NA,NA,NA,NA
2011,"SAINT HELENA",3,NA,3,NA,NA,NA,0.81,3703.7037037037,NA,NA,NA,NA,NA,NA
2012,"SAINT HELENA",3,NA,3,NA,NA,NA,0.82,3658.53658536585,NA,NA,NA,NA,NA,NA
2013,"SAINT HELENA",3,NA,3,NA,NA,NA,0.83,3614.4578313253,NA,NA,NA,NA,NA,NA
2014,"SAINT HELENA",3,NA,3,NA,NA,NA,0.84,3571.42857142857,NA,NA,NA,NA,NA,NA
1950,"SAINT LUCIA",1,NA,1,NA,NA,NA,0.01,1e+05,NA,NA,NA,NA,NA,NA
1951,"SAINT LUCIA",3,NA,3,NA,NA,NA,0.03,1e+05,NA,NA,NA,NA,NA,NA
1952,"SAINT LUCIA",2,NA,2,NA,NA,NA,0.02,1e+05,NA,NA,NA,NA,NA,NA
1953,"SAINT LUCIA",3,NA,3,NA,NA,NA,0.03,1e+05,NA,NA,NA,NA,NA,NA
1954,"SAINT LUCIA",2,NA,2,NA,NA,NA,0.02,1e+05,NA,NA,NA,NA,NA,NA
1955,"SAINT LUCIA",3,NA,3,NA,NA,NA,0.03,1e+05,NA,NA,NA,NA,NA,NA
1956,"SAINT LUCIA",3,NA,3,NA,NA,NA,0.03,1e+05,NA,NA,NA,NA,NA,NA
1957,"SAINT LUCIA",3,NA,3,NA,NA,NA,0.04,75000,NA,NA,NA,NA,NA,NA
1958,"SAINT LUCIA",3,NA,3,NA,NA,NA,0.04,75000,NA,NA,NA,NA,NA,NA
1959,"SAINT LUCIA",3,NA,3,NA,NA,NA,0.04,75000,NA,NA,NA,NA,NA,NA
1960,"SAINT LUCIA",4,NA,4,NA,NA,NA,0.05,80000,NA,NA,NA,NA,NA,NA
1961,"SAINT LUCIA",5,NA,5,NA,NA,NA,0.06,83333.3333333333,NA,NA,NA,NA,NA,NA
1962,"SAINT LUCIA",5,NA,5,NA,NA,NA,0.05,1e+05,NA,NA,NA,NA,NA,NA
1963,"SAINT LUCIA",6,NA,6,NA,NA,NA,0.06,1e+05,NA,NA,NA,NA,NA,NA
1964,"SAINT LUCIA",6,NA,6,NA,NA,NA,0.06,1e+05,NA,NA,NA,NA,NA,NA
1965,"SAINT LUCIA",7,NA,7,NA,NA,NA,0.07,1e+05,NA,NA,NA,NA,NA,NA
1966,"SAINT LUCIA",8,NA,8,NA,NA,NA,0.09,88888.8888888889,NA,NA,NA,NA,NA,NA
1967,"SAINT LUCIA",9,NA,9,NA,NA,NA,0.09,1e+05,NA,NA,NA,NA,NA,NA
1968,"SAINT LUCIA",10,NA,10,NA,NA,NA,0.1,1e+05,NA,NA,NA,NA,NA,NA
1969,"SAINT LUCIA",17,NA,17,NA,NA,NA,0.16,106250,NA,NA,NA,NA,NA,NA
1970,"SAINT LUCIA",18,NA,18,NA,NA,NA,0.18,1e+05,NA,NA,NA,NA,NA,NA
1971,"SAINT LUCIA",19,NA,19,NA,NA,NA,0.18,105555.555555556,NA,NA,NA,NA,NA,NA
1972,"SAINT LUCIA",21,NA,21,NA,NA,NA,0.2,105000,NA,NA,NA,NA,NA,NA
1973,"SAINT LUCIA",22,NA,22,NA,NA,NA,0.2,110000,NA,NA,NA,NA,NA,NA
1974,"SAINT LUCIA",20,NA,20,NA,NA,NA,0.19,105263.157894737,NA,NA,NA,NA,NA,NA
1975,"SAINT LUCIA",21,NA,21,NA,NA,NA,0.19,110526.315789474,NA,NA,NA,NA,NA,NA
1976,"SAINT LUCIA",23,NA,23,NA,NA,NA,0.2,115000,NA,NA,NA,NA,NA,NA
1977,"SAINT LUCIA",19,NA,19,NA,NA,NA,0.17,111764.705882353,NA,NA,NA,NA,NA,NA
1978,"SAINT LUCIA",27,NA,27,NA,NA,NA,0.23,117391.304347826,NA,NA,NA,NA,NA,NA
1979,"SAINT LUCIA",41,NA,41,NA,NA,NA,0.35,117142.857142857,NA,NA,NA,NA,NA,NA
1980,"SAINT LUCIA",31,NA,31,NA,NA,NA,0.26,119230.769230769,NA,NA,NA,NA,NA,NA
1981,"SAINT LUCIA",26,NA,26,NA,NA,NA,0.22,118181.818181818,NA,NA,NA,NA,NA,NA
1982,"SAINT LUCIA",31,NA,31,NA,NA,NA,0.26,119230.769230769,NA,NA,NA,NA,NA,NA
1983,"SAINT LUCIA",28,NA,28,NA,NA,NA,0.23,121739.130434783,NA,NA,NA,NA,NA,NA
1984,"SAINT LUCIA",31,NA,31,NA,NA,NA,0.25,124000,NA,NA,NA,NA,NA,NA
1985,"SAINT LUCIA",35,NA,35,NA,NA,NA,0.28,125000,NA,NA,NA,NA,NA,NA
1986,"SAINT LUCIA",36,NA,36,NA,NA,NA,0.28,128571.428571429,NA,NA,NA,NA,NA,NA
1987,"SAINT LUCIA",40,NA,40,NA,NA,NA,0.31,129032.258064516,NA,NA,NA,NA,NA,NA
1988,"SAINT LUCIA",45,NA,45,NA,NA,NA,0.34,132352.941176471,NA,NA,NA,NA,NA,NA
1989,"SAINT LUCIA",45,NA,45,NA,NA,NA,0.33,136363.636363636,NA,NA,NA,NA,NA,NA
1990,"SAINT LUCIA",44,NA,44,NA,NA,NA,0.32,137500,NA,NA,NA,NA,NA,NA
1991,"SAINT LUCIA",46,NA,46,NA,NA,NA,0.33,139393.939393939,NA,NA,NA,NA,NA,NA
1992,"SAINT LUCIA",55,NA,55,NA,NA,NA,0.39,141025.641025641,NA,NA,NA,NA,NA,NA
1993,"SAINT LUCIA",61,NA,61,NA,NA,NA,0.43,141860.465116279,NA,NA,NA,NA,NA,NA
1994,"SAINT LUCIA",71,NA,71,NA,NA,NA,0.49,144897.959183673,NA,NA,NA,NA,NA,NA
1995,"SAINT LUCIA",85,NA,85,NA,NA,NA,0.57,149122.807017544,NA,NA,NA,NA,NA,NA
1996,"SAINT LUCIA",89,NA,89,NA,NA,NA,0.6,148333.333333333,NA,NA,NA,NA,NA,NA
1997,"SAINT LUCIA",84,NA,84,NA,NA,NA,0.55,152727.272727273,NA,NA,NA,NA,NA,NA
1998,"SAINT LUCIA",84,NA,84,NA,NA,NA,0.55,152727.272727273,NA,NA,NA,NA,NA,NA
1999,"SAINT LUCIA",87,NA,87,NA,NA,NA,0.56,155357.142857143,NA,NA,NA,NA,NA,NA
2000,"SAINT LUCIA",90,NA,90,NA,NA,NA,0.58,155172.413793103,NA,NA,NA,NA,NA,NA
2001,"SAINT LUCIA",99,NA,99,NA,NA,NA,0.62,159677.419354839,NA,NA,NA,NA,NA,NA
2002,"SAINT LUCIA",89,NA,89,NA,NA,NA,0.55,161818.181818182,NA,NA,NA,NA,NA,NA
2003,"SAINT LUCIA",98,NA,98,NA,NA,NA,0.6,163333.333333333,NA,NA,NA,NA,NA,NA
2004,"SAINT LUCIA",97,NA,97,NA,NA,NA,0.59,164406.779661017,NA,NA,NA,NA,NA,NA
2005,"SAINT LUCIA",100,NA,100,NA,NA,NA,0.61,163934.426229508,NA,NA,NA,NA,NA,NA
2006,"SAINT LUCIA",100,NA,100,NA,NA,NA,0.6,166666.666666667,NA,NA,NA,NA,NA,NA
2007,"SAINT LUCIA",105,NA,105,NA,NA,NA,0.62,169354.838709677,NA,NA,NA,NA,NA,NA
2008,"SAINT LUCIA",108,NA,108,NA,NA,NA,0.63,171428.571428571,NA,NA,NA,NA,NA,NA
2009,"SAINT LUCIA",105,NA,105,NA,NA,NA,0.6,175000,NA,NA,NA,NA,NA,NA
2010,"SAINT LUCIA",110,NA,110,NA,NA,NA,0.62,177419.35483871,NA,NA,NA,NA,NA,NA
2011,"SAINT LUCIA",111,NA,111,NA,NA,NA,0.62,179032.258064516,NA,NA,NA,NA,NA,NA
2012,"SAINT LUCIA",111,NA,111,NA,NA,NA,0.61,181967.213114754,NA,NA,NA,NA,NA,NA
2013,"SAINT LUCIA",111,NA,111,NA,NA,NA,0.61,181967.213114754,NA,NA,NA,NA,NA,NA
2014,"SAINT LUCIA",111,NA,111,NA,NA,NA,0.61,181967.213114754,NA,NA,NA,NA,NA,NA
2012,"SAINT MARTIN (DUTCH PORTION)",190,NA,190,NA,NA,NA,5.41,35120.1478743068,NA,NA,NA,NA,NA,NA
2013,"SAINT MARTIN (DUTCH PORTION)",195,NA,195,NA,NA,NA,5.35,36448.5981308411,NA,NA,NA,NA,NA,NA
2014,"SAINT MARTIN (DUTCH PORTION)",200,NA,200,NA,NA,NA,5.31,37664.7834274953,NA,NA,NA,NA,NA,NA
1950,"SAMOA",1,NA,1,NA,NA,NA,0.01,1e+05,NA,NA,NA,NA,NA,NA
1951,"SAMOA",1,NA,1,NA,NA,NA,0.01,1e+05,NA,NA,NA,NA,NA,NA
1952,"SAMOA",2,NA,2,NA,NA,NA,0.02,1e+05,NA,NA,NA,NA,NA,NA
1953,"SAMOA",2,NA,2,NA,NA,NA,0.02,1e+05,NA,NA,NA,NA,NA,NA
1954,"SAMOA",3,NA,3,NA,NA,NA,0.04,75000,NA,NA,NA,NA,NA,NA
1955,"SAMOA",3,NA,3,NA,NA,NA,0.04,75000,NA,NA,NA,NA,NA,NA
1956,"SAMOA",3,NA,3,NA,NA,NA,0.03,1e+05,NA,NA,NA,NA,NA,NA
1957,"SAMOA",4,NA,4,NA,NA,NA,0.04,1e+05,NA,NA,NA,NA,NA,NA
1958,"SAMOA",3,NA,3,NA,NA,NA,0.03,1e+05,NA,NA,NA,NA,NA,NA
1959,"SAMOA",4,NA,4,NA,NA,NA,0.04,1e+05,NA,NA,NA,NA,NA,NA
1960,"SAMOA",4,NA,4,NA,NA,NA,0.04,1e+05,NA,NA,56.902,NA,81.074,18.926
1961,"SAMOA",5,NA,5,NA,NA,NA,0.04,125000,NA,NA,57.188,NA,81.014,18.986
1962,"SAMOA",5,NA,5,NA,NA,NA,0.04,125000,NA,NA,57.472,NA,80.939,19.061
1963,"SAMOA",6,NA,6,NA,NA,NA,0.05,120000,NA,NA,57.756,NA,80.859,19.141
1964,"SAMOA",7,NA,7,NA,NA,NA,0.05,140000,NA,NA,58.045,NA,80.779,19.221
1965,"SAMOA",8,NA,8,NA,NA,NA,0.06,133333.333333333,NA,NA,58.34,NA,80.699,19.301
1966,"SAMOA",7,NA,7,NA,NA,NA,0.05,140000,NA,NA,58.642,NA,80.618,19.382
1967,"SAMOA",7,NA,7,NA,NA,NA,0.05,140000,NA,NA,58.951,NA,80.407,19.593
1968,"SAMOA",8,NA,8,NA,NA,NA,0.06,133333.333333333,NA,NA,59.266,NA,80.156,19.844
1969,"SAMOA",8,NA,8,NA,NA,NA,0.05,160000,NA,NA,59.589,NA,79.903,20.097
1970,"SAMOA",8,NA,8,NA,NA,NA,0.06,133333.333333333,NA,NA,59.919,NA,79.647,20.353
1971,"SAMOA",10,NA,10,NA,NA,NA,0.07,142857.142857143,NA,NA,60.256,NA,79.389,20.611
1972,"SAMOA",10,NA,10,NA,NA,NA,0.07,142857.142857143,NA,NA,60.599,NA,79.248,20.752
1973,"SAMOA",10,NA,10,NA,NA,NA,0.07,142857.142857143,NA,NA,60.948,NA,79.168,20.832
1974,"SAMOA",9,NA,9,NA,NA,NA,0.06,150000,NA,NA,61.301,NA,79.088,20.912
1975,"SAMOA",16,NA,16,NA,NA,NA,0.11,145454.545454545,NA,NA,61.661,NA,79.008,20.992
1976,"SAMOA",13,NA,13,NA,NA,NA,0.09,144444.444444444,NA,NA,62.031,NA,78.927,21.073
1977,"SAMOA",22,NA,22,NA,NA,NA,0.14,157142.857142857,NA,NA,62.41,NA,78.887,21.113
1978,"SAMOA",29,NA,29,NA,NA,NA,0.19,152631.578947368,NA,NA,62.796,NA,78.867,21.133
1979,"SAMOA",26,NA,26,NA,NA,NA,0.17,152941.176470588,NA,NA,63.184,NA,78.847,21.153
1980,"SAMOA",27,NA,27,NA,NA,NA,0.17,158823.529411765,NA,NA,63.567,NA,78.827,21.173
1981,"SAMOA",28,NA,28,NA,NA,NA,0.18,155555.555555556,NA,NA,63.937,NA,78.807,21.193
1982,"SAMOA",31,NA,31,NA,NA,NA,0.2,155000,NA,NA,64.289,NA,78.8,21.2
1983,"SAMOA",31,NA,31,NA,NA,NA,0.2,155000,NA,NA,64.617,NA,78.8,21.2
1984,"SAMOA",31,NA,31,NA,NA,NA,0.2,155000,NA,NA,64.92,NA,78.8,21.2
1985,"SAMOA",31,NA,31,NA,NA,NA,0.2,155000,NA,NA,65.194,NA,78.8,21.2
1986,"SAMOA",31,NA,31,NA,NA,NA,0.2,155000,NA,NA,65.443,NA,78.8,21.2
1987,"SAMOA",31,NA,31,NA,NA,NA,0.2,155000,NA,NA,65.67,NA,78.8,21.2
1988,"SAMOA",31,NA,31,NA,NA,NA,0.19,163157.894736842,NA,NA,65.883,NA,78.8,21.2
1989,"SAMOA",33,NA,33,NA,NA,NA,0.2,165000,NA,NA,66.085,NA,78.8,21.2
1990,"SAMOA",28,NA,28,NA,NA,NA,0.18,155555.555555556,NA,0.62,66.281,100,78.8,21.2
1991,"SAMOA",29,NA,29,NA,NA,NA,0.18,161111.111111111,78.8,0.622,66.47,NA,78.8,21.2
1992,"SAMOA",30,NA,30,NA,NA,NA,0.18,166666.666666667,80.736,0.624,66.655,NA,78.742,21.258
1993,"SAMOA",30,NA,30,NA,NA,NA,0.18,166666.666666667,81.551,0.63,66.842,NA,78.653,21.347
1994,"SAMOA",31,NA,31,NA,NA,NA,0.19,163157.894736842,80,0.611,67.037,NA,78.564,21.436
1995,"SAMOA",32,NA,32,NA,NA,NA,0.19,168421.052631579,83.186,0.618,67.249,100,78.474,21.526
1996,"SAMOA",34,NA,34,NA,NA,NA,0.2,170000,84.009,0.628,67.491,NA,78.384,21.616
1997,"SAMOA",35,NA,35,NA,NA,NA,0.2,175000,84.836,0.63,67.764,NA,78.295,21.705
1998,"SAMOA",36,NA,36,NA,NA,NA,0.21,171428.571428571,85.668,0.636,68.067,NA,78.204,21.796
1999,"SAMOA",37,NA,37,NA,NA,NA,0.21,176190.476190476,86.5,0.642,68.399,NA,78.114,21.886
2000,"SAMOA",39,NA,39,NA,NA,NA,0.22,177272.727272727,87.328,0.647,68.748,100,78.023,21.977
2001,"SAMOA",40,NA,40,NA,NA,NA,0.23,173913.043478261,88.146,0.654,69.103,NA,77.932,22.068
2002,"SAMOA",40,NA,40,NA,NA,NA,0.23,173913.043478261,88.95,0.659,69.451,NA,78.059,21.941
2003,"SAMOA",42,NA,42,NA,NA,NA,0.23,182608.695652174,89.735,0.663,69.781,NA,78.302,21.698
2004,"SAMOA",41,NA,41,NA,NA,NA,0.23,178260.869565217,90.496,0.669,70.089,NA,78.543,21.457
2005,"SAMOA",44,NA,44,NA,NA,NA,0.24,183333.333333333,91.231,0.673,70.374,100,78.782,21.218
2006,"SAMOA",45,NA,45,NA,NA,NA,0.25,180000,96.372,0.675,70.642,NA,79.019,20.981
2007,"SAMOA",47,NA,47,NA,NA,NA,0.26,180769.230769231,92.668,0.681,70.901,NA,79.25,20.75
2008,"SAMOA",49,NA,49,NA,NA,NA,0.27,181481.481481481,93.397,0.685,71.158,NA,79.476,20.524
2009,"SAMOA",51,NA,51,NA,NA,NA,0.28,182142.857142857,97.9,0.687,71.412,NA,79.7,20.3
2010,"SAMOA",51,NA,51,NA,NA,NA,0.27,188888.888888889,96.626,0.693,71.663,100,79.922,20.078
2011,"SAMOA",55,NA,55,NA,NA,NA,0.29,189655.172413793,96.669,0.697,71.906,100,80.143,19.857
2012,"SAMOA",54,NA,54,NA,NA,NA,0.28,192857.142857143,97.156,0.697,72.136,100,80.376,19.624
2013,"SAMOA",54,NA,54,NA,NA,NA,0.28,192857.142857143,97.591,0.7,72.351,100,80.615,19.385
2014,"SAMOA",54,NA,54,NA,NA,NA,0.28,192857.142857143,97.9,0.703,72.549,100,80.851,19.149
1951,"SAO TOME AND PRINCIPE",1,NA,1,NA,NA,NA,0.01,1e+05,NA,NA,NA,NA,NA,NA
1952,"SAO TOME AND PRINCIPE",1,NA,1,NA,NA,NA,0.01,1e+05,NA,NA,NA,NA,NA,NA
1953,"SAO TOME AND PRINCIPE",1,NA,1,NA,NA,NA,0.01,1e+05,NA,NA,NA,NA,NA,NA
1954,"SAO TOME AND PRINCIPE",1,NA,1,NA,NA,NA,0.01,1e+05,NA,NA,NA,NA,NA,NA
1955,"SAO TOME AND PRINCIPE",1,NA,1,NA,NA,NA,0.01,1e+05,NA,NA,NA,NA,NA,NA
1956,"SAO TOME AND PRINCIPE",2,NA,2,NA,NA,NA,0.03,66666.6666666667,NA,NA,NA,NA,NA,NA
1957,"SAO TOME AND PRINCIPE",3,NA,3,NA,NA,NA,0.04,75000,NA,NA,NA,NA,NA,NA
1958,"SAO TOME AND PRINCIPE",2,NA,2,NA,NA,NA,0.03,66666.6666666667,NA,NA,NA,NA,NA,NA
1959,"SAO TOME AND PRINCIPE",2,NA,2,NA,NA,NA,0.03,66666.6666666667,NA,NA,NA,NA,NA,NA
1960,"SAO TOME AND PRINCIPE",3,NA,3,NA,NA,NA,0.04,75000,NA,NA,50.378,NA,83.927,16.073
1961,"SAO TOME AND PRINCIPE",3,NA,3,NA,NA,NA,0.05,60000,NA,NA,50.909,NA,83.195,16.805
1962,"SAO TOME AND PRINCIPE",3,NA,3,NA,NA,NA,0.04,75000,NA,NA,51.428,NA,82.031,17.969
1963,"SAO TOME AND PRINCIPE",2,NA,2,NA,NA,NA,0.03,66666.6666666667,NA,NA,51.931,NA,80.806,19.194
1964,"SAO TOME AND PRINCIPE",3,NA,3,NA,NA,NA,0.04,75000,NA,NA,52.417,NA,79.516,20.484
1965,"SAO TOME AND PRINCIPE",3,NA,3,NA,NA,NA,0.04,75000,NA,NA,52.891,NA,78.167,21.833
1966,"SAO TOME AND PRINCIPE",3,NA,3,NA,NA,NA,0.04,75000,NA,NA,53.361,NA,76.753,23.247
1967,"SAO TOME AND PRINCIPE",3,NA,3,NA,NA,NA,0.05,60000,NA,NA,53.838,NA,75.276,24.724
1968,"SAO TOME AND PRINCIPE",4,NA,4,NA,NA,NA,0.06,66666.6666666667,NA,NA,54.328,NA,73.736,26.264
1969,"SAO TOME AND PRINCIPE",4,NA,4,NA,NA,NA,0.06,66666.6666666667,NA,NA,54.833,NA,72.139,27.861
1970,"SAO TOME AND PRINCIPE",4,NA,4,NA,NA,NA,0.06,66666.6666666667,NA,NA,55.358,NA,70.482,29.518
1971,"SAO TOME AND PRINCIPE",3,NA,3,NA,NA,NA,0.03,1e+05,NA,NA,55.907,NA,69.795,30.205
1972,"SAO TOME AND PRINCIPE",3,NA,3,NA,NA,NA,0.04,75000,NA,NA,56.472,NA,69.439,30.561
1973,"SAO TOME AND PRINCIPE",4,NA,4,NA,NA,NA,0.05,80000,NA,NA,57.04,NA,69.083,30.917
1974,"SAO TOME AND PRINCIPE",5,NA,5,NA,NA,NA,0.06,83333.3333333333,NA,NA,57.597,NA,68.723,31.277
1975,"SAO TOME AND PRINCIPE",5,NA,5,NA,NA,NA,0.06,83333.3333333333,NA,NA,58.13,NA,68.361,31.639
1976,"SAO TOME AND PRINCIPE",8,NA,8,NA,NA,NA,0.09,88888.8888888889,NA,NA,58.623,NA,67.996,32.004
1977,"SAO TOME AND PRINCIPE",8,NA,8,NA,NA,NA,0.09,88888.8888888889,NA,NA,59.063,NA,67.63,32.37
1978,"SAO TOME AND PRINCIPE",9,NA,9,NA,NA,NA,0.1,90000,NA,NA,59.436,NA,67.262,32.738
1979,"SAO TOME AND PRINCIPE",9,NA,9,NA,NA,NA,0.1,90000,NA,NA,59.731,NA,66.891,33.109
1980,"SAO TOME AND PRINCIPE",11,NA,11,NA,NA,NA,0.11,1e+05,NA,NA,59.928,NA,66.518,33.482
1981,"SAO TOME AND PRINCIPE",12,NA,12,NA,NA,NA,0.12,1e+05,NA,NA,60.014,NA,66.143,33.857
1982,"SAO TOME AND PRINCIPE",13,NA,13,NA,NA,NA,0.13,1e+05,NA,NA,59.992,NA,65.174,34.826
1983,"SAO TOME AND PRINCIPE",15,NA,15,NA,NA,NA,0.15,1e+05,NA,NA,59.878,NA,64.113,35.887
1984,"SAO TOME AND PRINCIPE",14,NA,14,NA,NA,NA,0.14,1e+05,NA,NA,59.688,NA,63.037,36.963
1985,"SAO TOME AND PRINCIPE",15,NA,15,NA,NA,NA,0.15,1e+05,NA,NA,59.442,NA,61.951,38.049
1986,"SAO TOME AND PRINCIPE",14,NA,14,NA,NA,NA,0.13,107692.307692308,NA,NA,59.161,NA,60.851,39.149
1987,"SAO TOME AND PRINCIPE",14,NA,14,NA,NA,NA,0.13,107692.307692308,NA,NA,58.874,NA,59.74,40.26
1988,"SAO TOME AND PRINCIPE",13,NA,13,NA,NA,NA,0.12,108333.333333333,NA,NA,58.608,NA,58.618,41.382
1989,"SAO TOME AND PRINCIPE",13,NA,13,NA,NA,NA,0.12,108333.333333333,NA,NA,58.392,NA,57.489,42.511
1990,"SAO TOME AND PRINCIPE",13,NA,13,NA,NA,NA,0.11,118181.818181818,NA,0.453,58.247,NA,56.352,43.648
1991,"SAO TOME AND PRINCIPE",13,NA,13,NA,NA,NA,0.11,118181.818181818,NA,0.455,58.188,NA,55.207,44.793
1992,"SAO TOME AND PRINCIPE",13,NA,13,NA,NA,NA,0.1,130000,NA,0.458,58.212,NA,54.236,45.764
1993,"SAO TOME AND PRINCIPE",13,NA,13,NA,NA,NA,0.1,130000,NA,0.462,58.318,NA,53.283,46.717
1994,"SAO TOME AND PRINCIPE",13,NA,13,NA,NA,NA,0.1,130000,NA,0.466,58.511,NA,52.327,47.673
1995,"SAO TOME AND PRINCIPE",13,NA,13,NA,NA,NA,0.1,130000,NA,0.469,58.795,NA,51.369,48.631
1996,"SAO TOME AND PRINCIPE",13,NA,13,NA,NA,NA,0.1,130000,NA,0.474,59.172,NA,50.408,49.592
1997,"SAO TOME AND PRINCIPE",13,NA,13,NA,NA,NA,0.09,144444.444444444,NA,0.477,59.631,NA,49.45,50.55
1998,"SAO TOME AND PRINCIPE",13,NA,13,NA,NA,NA,0.1,130000,NA,0.481,60.159,NA,48.491,51.509
1999,"SAO TOME AND PRINCIPE",13,NA,13,NA,NA,NA,0.1,130000,NA,0.486,60.742,NA,47.533,52.467
2000,"SAO TOME AND PRINCIPE",13,NA,13,NA,NA,NA,0.1,130000,52.9,0.49,61.365,NA,46.576,53.424
2001,"SAO TOME AND PRINCIPE",14,NA,14,NA,NA,NA,0.1,140000,52.748,0.496,62.017,NA,45.623,54.377
2002,"SAO TOME AND PRINCIPE",16,NA,16,NA,NA,NA,0.11,145454.545454545,53.574,0.499,62.687,NA,44.445,55.555
2003,"SAO TOME AND PRINCIPE",18,NA,18,NA,NA,NA,0.12,150000,54.382,0.505,63.359,NA,43.234,56.766
2004,"SAO TOME AND PRINCIPE",20,NA,20,NA,NA,NA,0.13,153846.153846154,55.165,0.51,64.02,NA,42.028,57.972
2005,"SAO TOME AND PRINCIPE",21,NA,21,NA,NA,NA,0.14,150000,55.922,0.517,64.659,NA,40.835,59.165
2006,"SAO TOME AND PRINCIPE",23,NA,23,NA,NA,NA,0.15,153333.333333333,56.664,0.526,65.27,NA,39.652,60.348
2007,"SAO TOME AND PRINCIPE",23,NA,23,NA,NA,NA,0.14,164285.714285714,57.403,0.53,65.854,NA,38.48,61.52
2008,"SAO TOME AND PRINCIPE",23,NA,23,NA,NA,NA,0.14,164285.714285714,58.155,0.53,66.412,NA,37.32,62.68
2009,"SAO TOME AND PRINCIPE",25,NA,25,NA,NA,NA,0.15,166666.666666667,56.9,0.538,66.938,NA,36.177,63.823
2010,"SAO TOME AND PRINCIPE",27,NA,27,NA,NA,NA,0.16,168750,59.747,0.542,67.43,NA,35.048,64.952
2011,"SAO TOME AND PRINCIPE",28,NA,28,NA,NA,NA,0.16,175000,60.611,0.548,67.885,NA,33.936,66.064
2012,"SAO TOME AND PRINCIPE",31,NA,31,NA,NA,NA,0.17,182352.941176471,57.9,0.551,68.306,NA,32.84,67.16
2013,"SAO TOME AND PRINCIPE",31,NA,31,NA,NA,NA,0.17,182352.941176471,62.912,0.56,68.695,NA,31.792,68.208
2014,"SAO TOME AND PRINCIPE",31,NA,31,NA,NA,NA,0.17,182352.941176471,68.6,0.567,69.052,NA,30.787,69.213
1924,"SARAWAK",-90,NA,-90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948,"SARAWAK",-995,NA,-995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"SARAWAK",87,NA,59,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,"SARAWAK",88,NA,62,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,"SARAWAK",109,NA,83,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,"SARAWAK",123,NA,93,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,"SARAWAK",128,NA,99,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,"SARAWAK",110,NA,69,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,"SARAWAK",122,NA,80,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,"SARAWAK",126,NA,88,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,"SARAWAK",143,NA,106,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959,"SARAWAK",117,NA,80,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"SARAWAK",139,NA,100,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,"SARAWAK",151,NA,115,36,NA,NA,0.2,755000,NA,NA,NA,NA,NA,NA
